	wt_1
Name=A1BG	0
Name=NAT2	0
Name=ADA	3
Name=CDH2	1
Name=AKT3	1
Name=RNA5-8S5	18408
Name=RNA18S5	57722
Name=RNA28S5	146004
Name=TRY-GTA7-1	4
Name=TRY-GTA5-2	287
Name=TRF-GAA2-1	30
Name=TRF-GAA1-2	48
Name=TRH-GTG1-9	5579
Name=ANO1-AS2	0
Name=ZBTB11-AS1	0
Name=MED6	0
Name=NR2E3	0
Name=NAALAD2	0
Name=DUXB	1
Name=MIR675	0
Name=PDZK1P2	2
Name=DDTL	0
Name=TLX1NB	0
Name=NAALADL1	0
Name=CDKN2B-AS1	2
Name=GUSBP9	0
Name=SIGLEC14	2
Name=TRK-TTT3-3	915
Name=TRV-CAC1-5	2232
Name=LOC100049716	0
Name=ACOT8	0
Name=ABI1	3
Name=GNPDA1	0
Name=MIMT1	0
Name=KCNE3	1
Name=ZBTB33	0
Name=SNHG8	7
Name=LOC100093631	3
Name=GS1-600G8.3	0
Name=CDH3	3
Name=TANK	2
Name=TTTY21B	0
Name=TTTY1B	0
Name=TTTY2B	0
Name=TTTY8B	0
Name=TTTY7B	0
Name=TTTY23B	0
Name=LOC100101148	0
Name=HAVCR1P1	0
Name=POM121C	2
Name=PMS2P7	2
Name=ZSCAN30	0
Name=LOC100101478	0
Name=MCTS2P	1
Name=ANKRD26P3	1
Name=SRA1	3
Name=SNORD119	209
Name=SNORD121A	8
Name=SNORD125	6
Name=SNORD19B	106
Name=SNORD105B	102
Name=SNORD123	0
Name=UCKL1-AS1	0
Name=SNORD127	9
Name=SNORD126	12
Name=SNORD11B	19
Name=SNORD12B	155
Name=SNORD111B	10
Name=LINC00577	0
Name=LINC00583	0
Name=TMEM170B	3
Name=FAM138E	0
Name=SNORD58C	60
Name=SCARNA27	0
Name=SNORA84	3
Name=SNORA36C	1
Name=SNORA38B	0
Name=SNORA70B	2
Name=SNORA70C	0
Name=SNORA11B	0
Name=SNORA11C	0
Name=SNORA11D	0
Name=HOTAIR	1
Name=ZGLP1	0
Name=FAM86JP	0
Name=FMR1-AS1	1
Name=MIR298	0
Name=MIR300	0
Name=VTRNA2-1	1
Name=MIR509-2	0
Name=MIR450B	76
Name=MIR890	0
Name=MIR891B	0
Name=MIR888	0
Name=MIR892B	0
Name=MIR541	0
Name=MIR875	0
Name=MIR876	0
Name=MIR147B	5
Name=MIR744	151
Name=MIR877	12
Name=MIR665	0
Name=MIR873	0
Name=MIR374B	32
Name=MIR301B	255
Name=MIR216B	0
Name=MIR920	0
Name=MIR922	0
Name=MIR924	0
Name=MIR934	0
Name=MIR935	0
Name=MIR936	0
Name=MIR938	0
Name=MIR940	5
Name=MIR942	13
Name=MIR943	2
Name=MIR708	5
Name=MIR885	108
Name=MIR543	1
Name=MIR208B	0
Name=MIR509-3	0
Name=MIR937	2
Name=MIR944	1
Name=MIR891A	0
Name=MIR892A	0
Name=MIR874	2
Name=MIR889	0
Name=MIR190B	6
Name=MIR887	0
Name=MIR760	1
Name=MIR921	0
Name=MIR933	0
Name=MIR939	1
Name=MIR297	0
Name=MIR365A	34
Name=MIR365B	39
Name=LOC100126447	1
Name=TRNAL-CAA	246
Name=TRNAI-AAU	170
Name=TRNAM-CAU	95
Name=TRNAV-CAC	0
Name=TRNAQ-CUG	528
Name=TRNAN-GUU	1
Name=TRNAK-CUU	695
Name=TRNAE-UUC	186
Name=TRNAC-GCA	24
Name=TRNAG-CCC	135
Name=LOC100126584	1
Name=LINC00322	0
Name=SNAR-G1	0
Name=SNAR-F	0
Name=LOC100126784	0
Name=EGOT	0
Name=GHRLOS	0
Name=SNAR-A1	0
Name=SNAR-A2	0
Name=SNAR-A12	0
Name=KIAA1024L	0
Name=SLCO4A1-AS1	0
Name=C10orf131	0
Name=HECW1-IT1	0
Name=LOC100127955	0
Name=KRT73-AS1	0
Name=C8orf88	0
Name=LOC100128002	0
Name=LOC100128006	0
Name=DPPA2P3	0
Name=WWTR1-AS1	0
Name=LOC100128045	0
Name=PLCE1-AS1	0
Name=SMARCA5-AS1	0
Name=FAM229A	0
Name=LOC100128076	0
Name=LOC100128079	0
Name=JAZF1-AS1	0
Name=ST8SIA6-AS1	0
Name=PHBP16	0
Name=LOC100128108	0
Name=LOC100128121	0
Name=HGC6.3	0
Name=STAU2-AS1	1
Name=ADGRA1-AS1	0
Name=LINC01233	0
Name=LOC100128164	1
Name=LOC100128176	0
Name=TMPO-AS1	0
Name=LOC100128233	0
Name=LOC100128239	0
Name=LOC100128242	0
Name=ZNF667-AS1	0
Name=HTR5A-AS1	0
Name=LOC100128276	0
Name=DNM1P35	0
Name=LOC100128288	0
Name=DLG5-AS1	0
Name=LOC100128317	0
Name=LOC100128325	0
Name=TRAPPC3L	0
Name=FAM83H-AS1	0
Name=LOC100128340	0
Name=LOC100128361	1
Name=LOC100128364	0
Name=LINC00696	0
Name=FAM225B	4
Name=LOC100128386	0
Name=LOC100128398	0
Name=LINC00892	0
Name=LOC100128454	0
Name=TPT1P2	2
Name=LOC100128494	0
Name=C20orf78	0
Name=LOC100128497	0
Name=ASTN2-AS1	0
Name=NEBL-AS1	0
Name=LOC100128531	0
Name=C1orf132	97
Name=LOC100128540	0
Name=CTAGE4	0
Name=LOC100128554	1
Name=MYHAS	1
Name=LOC100128568	1
Name=C19orf71	1
Name=LOC100128573	0
Name=SLC8A1-AS1	0
Name=LOC100128593	0
Name=LL0XNC01-116E7.2	0
Name=CDC42P3	1
Name=ACVR2B-AS1	1
Name=LOC100128653	0
Name=HPN-AS1	0
Name=LINC01531	0
Name=LOC100128714	1
Name=OST4	5
Name=RBPMS-AS1	0
Name=LOC100128770	0
Name=LOC100128772	0
Name=LINC00476	0
Name=LINC01349	0
Name=SRRM2-AS1	1
Name=GPR158-AS1	0
Name=LOC100128817	0
Name=LPEQ6126	0
Name=LINC01003	0
Name=VPS9D1-AS1	0
Name=LOC100128882	0
Name=LOC100128885	0
Name=FAM66B	0
Name=GATA6-AS1	0
Name=LOC100128905	0
Name=LOC100128908	0
Name=LOC100128926	0
Name=ZBTB42	0
Name=LINC01310	0
Name=LOC100128964	1
Name=LOC100128966	0
Name=MAPT-AS1	0
Name=LOC100128988	1
Name=LOC100128993	1
Name=C20orf181	0
Name=LOC100129027	0
Name=LOC100129029	1
Name=LOC100129034	2
Name=LOC100129046	0
Name=LOC100129055	0
Name=UNQ6494	0
Name=KTN1-AS1	0
Name=LOC100129083	0
Name=BTNL10	0
Name=LOC100129098	0
Name=LOC100129100	0
Name=KHDC1L	0
Name=LOC100129138	0
Name=LOC100129148	1
Name=LOC100129175	0
Name=ZSCAN16-AS1	1
Name=MATN1-AS1	0
Name=LOC100129203	0
Name=SLC39A12-AS1	0
Name=LOC100129215	0
Name=LOC100129216	0
Name=LOC100129223	0
Name=LOC100129224	0
Name=CXorf51A	0
Name=TOPORS-AS1	1
Name=LINC01160	0
Name=C1orf68	0
Name=TDRD15	0
Name=LOC100129291	0
Name=LOC100129307	0
Name=LOC100129316	0
Name=LOC100129340	0
Name=LOC100129345	0
Name=LINC00484	0
Name=NRADDP	0
Name=LOC100129361	0
Name=C9orf92	0
Name=GABPB1-AS1	1
Name=FAM106CP	0
Name=MSTO2P	0
Name=LINC00684	0
Name=RPL19P12	2
Name=DDC-AS1	0
Name=LOC100129434	0
Name=LOC100129455	0
Name=DPY19L1P1	0
Name=LOC100129461	5
Name=LINC01546	0
Name=LOC100129473	0
Name=LOC100129476	0
Name=MKRN2OS	1
Name=ZNF37BP	0
Name=LOC100129484	1
Name=PP13	0
Name=LINC00633	0
Name=LOC100129516	0
Name=LOC100129518	0
Name=LOC100129520	0
Name=MUC8	0
Name=LOC100129534	0
Name=ZNF730	1
Name=LOC100129550	0
Name=FAM47E	0
Name=LINC00462	0
Name=LOC100129603	0
Name=LOC100129617	0
Name=LOC100129620	1
Name=LOC100129636	0
Name=TCF24	0
Name=FGF13-AS1	0
Name=IZUMO3	3
Name=LOC100129697	0
Name=ARRDC3-AS1	2
Name=C9orf173-AS1	0
Name=LOC100129724	0
Name=LINC01126	0
Name=LOC100129781	0
Name=CCDC152	0
Name=SLC25A21-AS1	0
Name=ZNF807	0
Name=MRVI1-AS1	0
Name=COL4A2-AS2	0
Name=ZNF737	0
Name=PCOLCE-AS1	0
Name=SCOC-AS1	1
Name=LOC100129860	0
Name=LOC100129869	0
Name=LOC100129878	0
Name=LOC100129917	0
Name=LOC100129924	0
Name=LOC100129931	3
Name=LOC100129935	0
Name=LOC100129940	1
Name=CCNT2-AS1	1
Name=LOC100129973	0
Name=LINC01460	0
Name=HDAC6	3
Name=URAHP	2
Name=FTLP10	0
Name=LOC100130035	0
Name=LOC100130075	1
Name=HBCBP	0
Name=HSFX2	0
Name=LOC100130093	2
Name=KIF28P	0
	0
Name=LOC100130100	0
Name=LOC100130111	0
Name=MAPT-IT1	0
Name=LOC100130152	0
Name=MIR124-2HG	0
Name=LOC100130172	0
Name=HNRNPCP9	0
Name=EFCAB14-AS1	0
Name=LOC100130207	1
Name=LINC00861	0
Name=LOC100130238	0
Name=PP2672	0
Name=LOC100130256	0
