logFC	logCPM	PValue	FDR	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	DE	Regulation
Eco3268	8.376875597036	11.1222575105022	4.26136902717337e-59	1.56647925438893e-55	9	35	4	1830	24078	31	5.65419146161294	31.9605264152305	3.51914973443357	705.578356901361	12594.3574751739	13.6297431046139	100	DOWN_CF_UP_NB
Eco3271	7.97441533874062	10.7280424885818	3.45040717302617e-55	6.34184838402211e-52	3	37	7	2692	17322	36	1.88473048720431	33.7868422103865	6.15851203525874	1037.93275233796	9060.53078266313	15.8280887666483	100	DOWN_CF_UP_NB
Eco3269	8.8360825573065	8.82021271118639	1.78675950744325e-52	2.18937598312046e-49	0	5	2	650	4650	6	0	4.56578948789007	1.75957486721678	250.615263380265	2432.25194200344	2.63801479444139	100	DOWN_CF_UP_NB
Eco3273	8.07248708931198	9.35958476215044	2.42232089569885e-52	2.22611290314724e-49	6	7	5	1716	6161	48	3.76946097440863	6.3921052830461	4.39893716804196	661.624295323899	3222.60305692112	21.1041183555311	100	DOWN_CF_UP_NB
Eco3410	-7.24996912098838	11.3119636646294	5.25685230292707e-51	3.86483781311198e-48	5028	6672	6731	116	70	41	3158.80829655443	6092.58949264051	5921.84921561808	44.7251854647857	36.6145453634926	18.0264344286828	100	UP_CF_DOWN_NB
Eco3409	-7.2830131142955	10.46680070222	1.31394913595968e-50	8.05012837297966e-48	2555	3560	4092	61	32	31	1605.16213160234	3250.84211537773	3600.09017832554	23.5192785633787	16.7380778804538	13.6297431046139	100	UP_CF_DOWN_NB
Eco3270	8.34271915818365	8.50655229253938	5.19412350950054e-49	2.727656860132e-46	1	4	3	534	3724	3	0.628243495734771	3.65263159031206	2.63936230082517	205.890077915479	1947.89381333781	1.3190073972207	100	DOWN_CF_UP_NB
Eco3274	7.2985428660958	7.92011335679895	1.11566847360448e-41	5.12649663621259e-39	2	3	6	745	2131	47	1.25648699146954	2.73947369273404	5.27872460165035	287.24364802815	1114.65137385147	20.6644492231242	100	DOWN_CF_UP_NB
Eco0597	-7.04145442603133	7.37759702368527	2.09429612266242e-41	8.55403616323006e-39	273	425	510	11	5	1	171.510474335593	388.092106470656	448.69159114028	4.2411813802814	2.6153246688209	0.439669132406898	100	UP_CF_DOWN_NB
Eco0596	-6.49763502581996	8.38075057622498	3.74731895562408e-41	1.37751444808741e-38	544	758	1094	29	16	5	341.764461679716	692.173686364135	962.48745236758	11.1812963661964	8.36903894022689	2.19834566203449	100	UP_CF_DOWN_NB
Eco1381	6.71490204362543	7.83917537011	5.5218015141621e-39	1.84528566964181e-36	7	4	5	1250	1589	56	4.3977044701434	3.65263159031206	4.39893716804196	481.952429577432	831.150179751283	24.6214714147863	100	DOWN_CF_UP_NB
Eco1380	5.70536417796296	10.6134405445205	7.93891358334192e-37	2.43195386103041e-34	80	63	78	8485	10814	616	50.2594796587817	57.5289475474149	68.6234198214545	3271.49309197161	5656.42419372585	270.836185562649	100	DOWN_CF_UP_NB
Eco0919	-5.59395503896894	10.2564586105125	6.28421368034137e-36	1.77698226837961e-33	2248	3559	2894	109	92	134	1412.29137841177	3249.92895748015	2546.10483286269	42.0262518591521	48.1219739063046	58.9156637425244	100	UP_CF_DOWN_NB
Eco3267	6.78679015155794	6.7844802451339	7.16695965639171e-34	1.88183883549257e-31	2	4	1	56	1177	2	1.25648699146954	3.65263159031206	0.879787433608392	21.591468845069	615.64742704044	0.879338264813797	100	DOWN_CF_UP_NB
Eco0777	5.40481324486075	8.74897794879315	1.2300033271553e-32	3.01432815374858e-30	32	22	21	2010	1540	2083	20.1037918635127	20.0894737467163	18.4755361057762	774.979506760511	805.519997996838	915.83080280357	100	DOWN_CF_UP_NB
Eco3489	-5.88132183551936	6.7882599549797	1.70045393188364e-32	3.90679290850267e-30	208	222	380	8	7	10	130.674647112832	202.721053262319	334.319224771189	3.08449554929557	3.66145453634926	4.39669132406898	100	UP_CF_DOWN_NB
Eco3563	-5.16857436643231	8.65298402637783	2.26031364705457e-31	4.88759586268976e-29	580	908	1335	69	32	50	364.381227526167	829.147371000837	1174.5162238672	26.6037741126743	16.7380778804538	21.9834566203449	100	UP_CF_DOWN_NB
